,Rank,Website,Category,Search traffic,"Estimated monthly organic search visits, with change from the previous month"
0,1,yahoo.com,News,268.9M,-20.8M
1,2,nytimes.com,News,189.8M,+6.3M
2,3,globo.com,News,188.7M,-15.6M
3,4,bbc.co.uk,News,136.7M,+8.3M
4,5,bbc.com,News,82.4M,-15.6M
5,6,uol.com.br,News,78M,+1.1M
6,7,detik.com,News,57.5M,-3.4M
7,8,conectate.com.do,News,49.1M,+613.8K
8,9,hurriyet.com.tr,News,43.1M,-17M
9,10,cnn.com,News,41.8M,+9.1M
10,11,lefigaro.fr,News,33.5M,+16.4M
11,12,foxnews.com,News,32.4M,+966.3K
12,13,interia.pl,News,31.4M,-7.8M
13,14,theguardian.com,News,28.7M,-5.2M
14,15,sabah.com.tr,News,28.6M,+1.4M
15,16,msn.com,News,26M,+3.8M
16,17,ndtv.com,News,23.7M,-12.3M
17,18,bild.de,News,20M,-2M
18,19,ouest-france.fr,News,19.8M,-2.5M
19,20,cnnbrasil.com.br,News,18.4M,+2.4M
20,21,corriere.it,News,18.2M,+1.8M
21,22,aljazeera.com,News,18M,+3.6M
22,23,kumparan.com,News,17.5M,-91.7K
23,24,milliyet.com.tr,News,17.4M,-7.5M
24,25,dailymail.co.uk,News,16.4M,-65K
25,26,terra.com.br,News,16.3M,-2.7M
26,27,aajtak.in,News,16.1M,+3.5M
27,28,n-tv.de,News,15.8M,+5.4M
28,29,liputan6.com,News,15.7M,-74.8K
29,30,usatoday.com,News,15.6M,-6M
30,31,infobae.com,News,15.4M,-856.3K
31,32,ukr.net,News,15.3M,+2.3M
32,33,kompas.com,News,15.1M,-2.7M
33,34,24h.com.vn,News,14.7M,-5M
34,35,sondakika.com,News,14.3M,+2.2M
35,36,wp.pl,News,13.5M,-18.5M
36,37,usnews.com,News,13.3M,-339K
37,38,elmundo.es,News,13.1M,-2.4M
38,39,jagran.com,News,13M,+4.3M
39,40,news18.com,News,13M,-4M
40,41,hindustantimes.com,News,12.4M,-11M
41,42,abril.com.br,News,12M,-1.6M
42,43,bfmtv.com,News,11.8M,+891.2K
43,44,thairath.co.th,News,11.7M,-7.5M
44,45,tribunnews.com,News,11.3M,-1.6M
45,46,aol.com,News,11.3M,+1M
46,47,ndr.de,News,11M,+1M
47,48,abplive.com,News,10.9M,+18.7K
48,49,thesun.co.uk,News,10.8M,-480.3K
49,50,iltalehti.fi,News,10.6M,-492.9K
50,51,aftonbladet.se,News,10.5M,+1.5M
51,52,libero.it,News,10.4M,-391K
52,53,tagesschau.de,News,10.3M,+2M
53,54,bhaskar.com,News,10.3M,+490.8K
54,55,nypost.com,News,10.2M,+173K
55,56,t-online.de,News,10M,+253.6K
56,57,nbcnews.com,News,9.8M,+591.4K
57,58,elpais.com,News,9.3M,-1.4M
58,59,tirto.id,News,9M,+2.8M
59,60,vnexpress.net,News,9M,-5.7M
60,61,asahi.com,News,8.8M,+844K
61,62,cnnturk.com,News,8.8M,+1.1M
62,63,youm7.com,News,8.6M,-3M
63,64,indianexpress.com,News,8.6M,-12M
64,65,haberturk.com,News,8.6M,-1.5M
65,66,thehindu.com,News,8.3M,-2M
66,67,rbc.ru,News,8.2M,-1.8M
67,68,franceinfo.fr,News,8.2M,+880.8K
68,69,reuters.com,News,8M,-542K
69,70,tuoitre.vn,News,8M,+3.1M
70,71,repubblica.it,News,8M,-603.7K
71,72,nu.nl,News,7.7M,+1.2M
72,73,expressen.se,News,7.7M,+114K
73,74,baomoi.com,News,7.7M,-13.8M
74,75,cbsnews.com,News,7.6M,-879.8K
75,76,today.com,News,7.6M,+471.6K
76,77,sozcu.com.tr,News,7.6M,-1.9M
77,78,protothema.gr,News,7.5M,+1.8M
78,79,estadao.com.br,News,7.3M,-847K
79,80,ad.nl,News,7.3M,+111.4K
80,81,abc.net.au,News,7.2M,-12K
81,82,vg.no,News,7.1M,+75.8K
82,83,spiegel.de,News,7.1M,-3M
83,84,ria.ru,News,7M,-944.8K
84,85,blic.rs,News,7M,+45.3K
85,86,ynet.co.il,News,7M,+1.8M
86,87,idntimes.com,News,6.9M,-370.4K
87,88,clarin.com,News,6.7M,-149.7K
88,89,lemonde.fr,News,6.7M,-960.5K
89,90,ntv.com.tr,News,6.5M,-1.4M
90,91,aktuality.sk,News,6.5M,-795.3K
91,92,sindonews.com,News,6.4M,+230.3K
92,93,livehindustan.com,News,6.4M,-1M
93,94,cbc.ca,News,6.4M,-608.1K
94,95,yle.fi,News,6.3M,+1.5M
95,96,dw.com,News,6.3M,+555.8K
96,97,cnnindonesia.com,News,6.3M,+283.5K
97,98,washingtonpost.com,News,6.2M,+35.1K
98,99,clicrbs.com.br,News,6.2M,+1.5M
99,100,kurir.rs,News,6.2M,+142.1K
